
精-彩-测试,#genre#
TVB黃金華劇,http://45.192.97.170:8880/play/1507.m3u8
TVB翡翠(馬來),http://45.192.97.170:8880/play/1508.m3u8
TVB明珠,http://45.192.97.170:8880/play/1509.m3u8
TVBJ1,http://45.192.97.170:8880/play/1510.m3u8
TVB1,http://45.192.97.170:8880/play/1511.m3u8
千禧經典,http://45.192.97.170:8880/play/1512.m3u8
HOY77,http://45.192.97.170:8880/play/1513.m3u8
TVB-獎門人,http://45.192.97.170:8880/play/1514.m3u8
TVB-金曲,http://45.192.97.170:8880/play/1515.m3u8
RTHK31,http://45.192.97.170:8880/play/1516.m3u8
TVB娛樂新聞,http://45.192.97.170:8880/play/1517.m3u8
MYTV黃金翡翠,http://45.192.97.170:8880/play/1518.m3u8
TVB翡翠劇集,http://45.192.97.170:8880/play/1519.m3u8
澳視澳門,http://45.192.97.170:8880/play/1520.m3u8
中國電影,http://45.192.97.170:8880/play/1521.m3u8
TVBS新聞,http://45.192.97.170:8880/play/1522.m3u8
非凡新聞,http://45.192.97.170:8880/play/1523.m3u8
民視,http://45.192.97.170:8880/play/1524.m3u8
華藝中文,http://45.192.97.170:8880/play/1525.m3u8
愛奇藝,http://45.192.97.170:8880/play/1526.m3u8
靖洋戲劇,http://45.192.97.170:8880/play/1527.m3u8
靖天電影,http://45.192.97.170:8880/play/1528.m3u8
東森電影,http://45.192.97.170:8880/play/1529.m3u8
緯來電影,http://45.192.97.170:8880/play/1530.m3u8
龍華電影,http://45.192.97.170:8880/play/1531.m3u8
龍華洋片,http://45.192.97.170:8880/play/1532.m3u8
風雲恐怖電影,http://45.192.97.170:8880/play/1533.m3u8
ROCK_Action,http://45.192.97.170:8880/play/1534.m3u8
梦工场动漫,http://45.192.97.170:8880/play/1535.m3u8
Duck TV兒童卡通,http://45.192.97.170:8880/play/1536.m3u8
MOMO親子,http://45.192.97.170:8880/play/1537.m3u8
金光布袋戲,http://45.192.97.170:8880/play/1538.m3u8
民視綜藝,http://45.192.97.170:8880/play/1539.m3u8
民視影劇,http://45.192.97.170:8880/play/1540.m3u8
TVBS精采,http://45.192.97.170:8880/play/1541.m3u8
臺視綜合,http://45.192.97.170:8880/play/1542.m3u8
東森綜合2,http://45.192.97.170:8880/play/1543.m3u8
八度空間,http://45.192.97.170:8880/play/1544.m3u8
韓流美食料理秀,http://45.192.97.170:8880/play/1545.m3u8
娛樂百分百,http://45.192.97.170:8880/play/1546.m3u8
綜藝大贏家,http://45.192.97.170:8880/play/1547.m3u8

Astro AOD,http://45.192.97.170:8880/play/1603.m3u8
Astro AEC,http://45.192.97.170:8880/play/1604.m3u8
Astro QJ,http://45.192.97.170:8880/play/1605.m3u8
Astro欢喜台,http://45.192.97.170:8880/play/1606.m3u8
爱奇艺,http://45.192.97.170:8880/play/1607.m3u8
天映频道,http://45.192.97.170:8880/play/1608.m3u8
天映经典,http://45.192.97.170:8880/play/1609.m3u8
TVB星河,http://45.192.97.170:8880/play/1610.m3u8
千禧经典台,http://45.192.97.170:8880/play/1611.m3u8
翡翠台(WebVTT字幕),http://45.192.97.170:8880/play/1612.m3u8
明珠台(WebVTT字幕),http://45.192.97.170:8880/play/1613.m3u8
